fecha,referencia,alcalinidad_total,aluminio,bario,bicarbonatos,cadmio,calcio,carbonatos,cianuro_libre,cloruros,cobre,coliformes_termotolerantes,coliformes_totales,conductividad,cromo,dbo5,dqo,dureza_calcica,dureza_magnesica_pd,dureza_total,fosforo_total,hidróxidos,hierro,magnesio,manganeso,mercurio,niquel,nitratos,nitritos,nitritos_nitratos,nitrogeno_amoniacal,nitrogeno_ntk,nitrogeno_orgánico,ph,plomo,potasio,sodio,solidos_sedimentables,solidos_suspendidos,solidos_totales,solidos_totales_volátiles,sulfatos,sulfuros,sustancias_solubles_al_hexano,turbiedad,zinc,obs
06/04/01,P1,154.80,,,,0.50,,,,37.20,1.00,3.00E+03,3.00E+03,0.44,2.00,0.68,11.81,82.00,,142.00,0.07,,1.883,,0.05285,,4.00,,,0.03,0,,0.34,8.2,10.00,2.93,32.86,0.3,41,313,,10.65,,0,17,0.1353,
06/04/01,P2,161.90,,,,0.50,,,,34.90,1.00,2.20E+03,7.00E+03,0.44,2.00,0.18,23.42,91.00,,144.00,0.22,,5.179,,0.1641,,4.00,,,0.03,0,,0.46,8.36,10.00,3.57,30.05,0.9,185,453,,16.36,,18,40,0.09056,
06/04/01,P3,160.90,,,,0.50,,,,33.80,1.00,7.00E+03,1.70E+04,0.44,2.00,0.48,19.68,92.00,,149.00,0.21,,6.043,,0.2047,,4.00,,,0.08,0,,0.98,8.47,10.00,3.99,31.63,0.7,209,470,,18.33,,15,52,0.09999,
06/04/01,P4,159.70,,,,0.50,,,,45.20,1.00,1.10E+04,1.10E+04,0.47,2.00,0.58,7.87,100.00,,154.00,0.05,,3.159,,0.09761,,4.00,,,0.06,0,,0.29,8.34,10.00,3.24,33.96,0.2,74,350,,23.95,,6,26,0.09698,
07/04/01,P1,153.70,169.7,,,0.50,,,,28.78,2.89,1.30E+04,1.30E+04,,2.00,0.35,7.75,99.00,,141.00,0.03,,1.093,,0.03675,,5.20,,,0.03,0,,0.52,8.44,10.00,3.168,28.62,0,0,293,,0,,14.5,,0.1172,
07/04/01,P2,171.18,341.1,,,0.50,,,,27.01,6.58,3.00E+03,3.00E+03,,4.01,0.37,11.63,102.00,,149.00,0.05,,1.258,,0.07701,,15.34,,,0.1,0.74,,1.55,8.17,10.00,3.171,26.92,0,3,297,,0.7,,27.75,,0.136,
07/04/01,P3,173.23,218.2,,,0.50,,,,28.02,6.85,2.20E+03,2.20E+03,,6.33,0.37,9.69,107.00,,143.00,0.03,,1.106,,0.06362,,29.40,,,0.02,0,,0.63,8.2,10.00,3.22,26.92,0,7,305,,0.7,,23.5,,0.07549,
07/04/01,P4,178.35,240.2,,,0.50,,,,27.01,11.25,1.70E+04,1.70E+04,,2.00,0.52,23.62,117.00,,163.00,0.02,,1.581,,0.03941,,26.95,,,0,0,,0.46,8.2,10.00,3.271,27.44,0,4,322,,8,,7,,0.08745,
03/20/02,P1,224.89,257.2,,202.81,0.50,,22.08,,50.13,4.79,8.00E+02,5.00E+04,0.63,2.00,0.88,11.79,133.00,,170.00,0.02,,0.614,,0.04747,,27.4,,,,0,,0.45,8.63,14.73,3.71,41.78,0.2,11,426,,20.45,,39.2,15,0.04074,
03/20/02,P2,230.92,30,,214.86,0.50,,16.06,,52.69,1.77,1.70E+03,3.00E+04,0.61,2.00,0.90,9.82,144.00,,210.00,0.04,,0.003,,0.001,,9.01,,,,0,,0.45,8.5,37.5,3.42,38.98,0.1,11,439,,29.09,,17.6,14,0.00379,
03/20/02,P3,242.97,821.7,,222.89,0.50,,20.08,,44.68,2.82,2.20E+03,8.00E+03,0.71,2.00,0.73,1.96,162.00,,240.00,0.05,,1.068,,0.08725,,19.28,,,,0,,0.39,8.55,10,3.33,36.89,0.05,22,477,,53.64,,18,22,0.01869,
03/20/02,P4,232.93,1111,,216.87,0.50,,16.06,,43.53,5.14,8.00E+03,1.70E+04,0.71,2.00,0.93,3.93,166.00,,253.00,0.09,,5.103,,0.1195,,27.21,,,,0,,0.56,8.55,15.67,3.21,35.61,0.05,81,534,,73.34,,32,56,0.03026,
11/06/02,P1,,,,,,,,,,,1.70E+03,5.00E+04,,,,1.83,,,,0.64,,,,,,,,,,,,,,,,,,,927.8,,,,,,,
11/06/02,P2,,,,,,,,,,,5.00E+03,3.00E+04,,,,1.65,,,,0.9,,,,,,,,,,,,,,,,,,,969,,,,,,,
11/06/02,P3,,,,,,,,,,,8.00E+03,2.40E+04,,,,1.68,,,,0.91,,,,,,,,,,,,,,,,,,,1118,,,,,,,
11/06/02,P4,,,,,,,,,,,3.00E+03,3.00E+04,,,,1.75,,,,1.17,,,,,,,,,,,,,,,,,,,1876,,,,,,,
12/04/02,P1,,,,,,,,,,,3.00E+03,5.00E+03,,,0.73,,,,,0.03,,,,,,,,,0.02,,,,8.8,,,,,,438,,,,,2.5,,
12/04/02,P2,,,,,,,,,,,8.00E+02,1.30E+03,,,0.95,,,,,0,,,,,,,,,0.01,,,,8.6,,,,,,463,,,,,5.6,,
12/04/02,P3,,,,,,,,,,,1.70E+03,5.00E+04,,,0.55,,,,,0.04,,,,,,,,,0.03,,,,8.7,,,,,,453,,,,,11,,
12/04/02,P4,,,,,,,,,,,5.00E+03,8.00E+03,,,0.48,,,,,0.03,,,,,,,,,0.01,,,,8.7,,,,,,460,,,,,9.4,,
03/31/03,P1,,,,,,,,,,,5.00E+03,1.70E+04,,,0.50,,,,,0.09,,,,,,,,,,,,,,,,,,,306,,,,,,,
03/31/03,P2,,,,,,,,,,,2.40E+03,7.00E+03,,,0.80,,,,,0.47,,,,,,,,,,,,,,,,,,,305,,,,,,,
03/31/03,P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/03,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/28/03,P1,,,,,,,,,,,3.00E+04,9.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,813,,,,,,,
04/28/03,P2,,,,,,,,,,,3.00E+04,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,977,,,,,,,
04/28/03,P3,,,,,,,,,,,3.00E+04,3.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,794,,,,,,,
04/28/03,P4,,,,,,,,,,,8.00E+03,8.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,1084,,,,,,,
07/23/03,P1,,,,,,,,,,,1.30E+03,3.00E+03,,,0.75,,,,,0.05,,,,,,,,,,,,,,,,,,0,338,,,,,,,
07/23/03,P2,,,,,,,,,,,1.10E+03,5.00E+04,,,0.75,,,,,0.06,,,,,,,,,,,,,,,,,,0,364,,,,,,,
07/23/03,P3,,,,,,,,,,,1.10E+03,5.00E+03,,,0.88,,,,,,,,,,,,,,,,,,,,,,,0,341,,,,,,,
07/23/03,P4,,,,,,,,,,,3.00E+02,5.00E+03,,,1.10,,,,,,,,,,,,,,,,,,,,,,,22,329,,,,,,,
09/24/03,P1,,,,,0.5,,,,,,1.30E+03,5.00E+03,,2,1.40,23.7,,,,0.07,,,,0.0069,,,,,,,,,,25.4,,,,,449,,,,,,,
09/24/03,P2,,,,,0.5,,,,,,8.00E+02,1.10E+04,,2.5,1.00,21.8,,,,0.08,,,,0.3736,,,,,,,,,,38,,,,,469,,,,,,,
09/24/03,P3,,,,,1.20,,,,,,8.00E+02,2.20E+03,,6.1,1.50,27.7,,,,0.05,,,,0.0169,,,,,,,,,,343.2,,,,,426,,,,,,,
09/24/03,P4,,,,,0.5,,,,,,2.30E+02,2.80E+03,,8.6,1.00,19.8,,,,0.04,,,,0.0135,,,,,,,,,,257.4,,,,,459,,,,,,,
12/08/03,P1,,,,,0.5,,,,,,1.10E+03,5.00E+03,,5.7,1.10,5.9,,,,0.04,,,,0.0715,,,,,,,,,,10,,,,,396,,,,,,,
12/08/03,P2,,,,,0.5,,,,,,1.70E+03,3.00E+03,,11,0.90,5.9,,,,0.04,,,,0.1154,,,,,,,,,,10,,,,,408,,,,,,,
12/08/03,P3,,,,,0.5,,,,,,1.30E+03,2.40E+03,,13.6,0.90,3.7,,,,0.05,,,,0.0917,,,,,,,,,,10,,,,,426,,,,,,,
12/08/03,P4,,,,,0.5,,,,,,2.80E+03,8.00E+03,,19.7,0.40,3.7,,,,0.05,,,,0.0706,,,,,,,,,,10,,,,,434,,,,,,,
01/26/04,P1,,,,,0.5,,,,,,5.00E+03,1.70E+04,,2,0.80,16,,,,0.07,,,,0.0597,,,,,,,,,,10,,,,,429,,,,,,,
01/26/04,P2,,,,,0.5,,,,,,1.70E+03,1.30E+04,,2,1.00,14,,,,0.05,,,,0.1589,,,,,,,,,,10,,,,,454,,,,,,,
01/26/04,P3,,,,,0.5,,,,,,3.00E+03,5.00E+03,,2,0.80,14,,,,0.05,,,,0.0813,,,,,,,,,,10,,,,,452,,,,,,,
01/26/04,P4,,,,,0.5,,,,,,1.10E+03,5.00E+03,,2,0.60,12,,,,0.04,,,,0.0414,,,,,,,,,,10,,,,,460,,,,,,,
02/16/04,P1,,,,,0.5,,,,,,5.00E+02,2.80E+03,,2,0.70,1.95,,,,0.05,,,,0.0344,,,,,,,,,,10,,,,,432,,,,,,,
02/16/04,P2,,,,,0.5,,,,,,1.03E+03,3.00E+03,,2,0.90,5.9,,,,0.05,,,,0.2044,,,,,,,,,,10,,,,,468,,,,,,,
02/16/04,P3,,,,,0.94,,,,,,1.30E+03,5.00E+03,,3.5,0.80,1.95,,,,0.06,,,,0.0594,,,,,,,,,,10,,,,,399,,,,,,,
02/16/04,P4,,,,,0.56,,,,,,1.30E+03,1.30E+03,,5.1,0.40,3.9,,,,0.02,,,,0.0212,,,,,,,,,,10,,,,,478,,,,,,,
10/11/04,P1,,253.6,8,,3.20,,,0.00,,6.8,1.70E+03,5.00E+03,,2,1.30,,,,,,,0.2389,,0.0379,,16.6,0.011,0.000,,,,,8.42,10,,,,0,411,,,,10,,0.021,
10/11/04,P2,,222.6,8,,8.50,,,0.00,,7.7,5.00E+02,1.70E+03,,2,0.90,,,,,,,0.2984,,0.0559,,18.8,0.011,0.000,,,,,8.37,10,,,,0,420,,,,6.7,,0.1057,
10/11/04,P3,,228.3,8,,6.30,,,0.00,,5.1,1.00E+04,1.30E+04,,2,0.70,,,,,,,0.4544,,0.0538,,25.1,0.01,0.000,,,,,8.4,119.5,,,,0,428,,,,3,,0.0158,
10/11/04,P4,,1405,8,,9.10,,,0.00,,5.7,2.40E+03,1.30E+04,,2,0.70,,,,,,,1.552,,0.0582,,24.1,0.01,0.000,,,,,8.43,70.5,,,,33,461,,,,7.3,,0.0315,
05/02/05,P1,,,,,0.50,,,,,,5.00E+02,2.20E+03,,41.30,0.8,29,,,,0.22,,,,0.1753,,,,,,,,,,10,,,,,461,,,,,,,
05/02/05,P2,,,,,0.50,,,,,,8.00E+02,8.00E+03,,27.30,0.7,23,,,,0.25,,,,0.1788,,,,,,,,,,10,,,,,481,,,,,,,
05/02/05,P3,,,,,0.50,,,,,,1.30E+03,2.20E+03,,14.80,0.60,27,,,,0.25,,,,0.2,,,,,,,,,,29.3,,,,,497,,,,,,,
05/02/05,P4,,,,,1.20,,,,,,8.00E+02,5.00E+03,,17.30,0.70,35,,,,0.27,,,,0.2066,,,,,,,,,,10,,,,,593,,,,,,,
06/28/06,P1,,207,100.6,,0.50,,,0.00,,1.00,2.40E+03,7.90E+03,,3.00,0.2,18,,,,0.03,,0.0553,,0.0153,,8,0.01,0.000,,,,,8.42,15.70,,,,0,349,,,,5.2,,0.0008,
06/28/06,P2,,76.2,88.7,,0.88,,,0.00,,1.00,1.30E+05,2.40E+05,,3.00,0.2,14,,,,0.03,,0.0416,,0.003,,6.1,0.03,0.000,,,,,8.28,10.00,,,,1,358,,,,5.2,,0.0008,
06/28/06,P3,,30.00,107.2,,0.61,,,0.00,,1.00,1.70E+03,4.60E+03,,3.00,0.3,31,,,,0.03,,0.0225,,0.004,,7.2,0.01,0.000,,,,,8.36,21.40,,,,1,359,,,,0.8,,0.0008,
06/28/06,P4,,30.00,157.6,,0.83,,,0.00,,1.00,2.20E+03,2.70E+03,,3.00,0.2,10,,,,0.03,,0.0149,,0.0011,,8.9,0.01,0.000,,,,,8.47,38.90,,,,4,405,,,,1.6,,0.0008,
06/28/06,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/06,P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/11,P1,,1965,,,20.00,,,0.10,,30.9,2.80E+03,2.20E+04,,50.00,1.2,54,,,,0.13,,3.432,,0.0601,,34.8,0.08,0.023,,,,,7.5,100.00,,,,38,320,,,,2,,0.053,
03/23/11,P2,,2533,,,20.00,,,0.10,,20.7,1.30E+03,9.40E+03,,50.00,1,58,,,,0.12,,3.1,,0.0656,,15.4,0.05,0.010,,,,,7.64,100.00,,,,22,328,,,,6.4,,0.0552,
03/23/11,P3,,3932,,,20.00,,,0.10,,18.9,4.90E+03,2.40E+04,,50.00,1.3,44,,,,0.12,,4.195,,0.0698,,29.4,0.04,0.017,,,,,7.77,100.00,,,,28,337,,,,8.4,,1.249,
03/23/11,P4,,7656,,,20.00,,,0.10,,28.2,3.30E+03,2.20E+04,,50.00,1,50,,,,0.19,,9.803,,0.1662,,33.5,0.07,0.004,,,,,7.88,100.00,,,,193,513,,,,17.6,,0.0633,
03/23/11,P5,,5269,,,20.00,,,0.10,,17.7,1.70E+03,1.70E+04,,50.00,1,58,,,,0.1,,5.002,,0.0665,,25.7,0.05,0.007,,,,,7.9,100.00,,,,37,342,,,,5.6,,0.0319,
03/23/11,P6,,1186,,,20.00,,,0.10,,13.4,1.60E+04,1.60E+04,,50.00,0.3,12,,,,0.07,,2.106,,0.035,,27.7,0.03,0.00,,,,,8.1,100.00,,,,37,455,,,,6,,0.0239,
06/22/11,P1,,,,,20.00,,,,,6.3,7.90E+02,2.40E+03,,6.00,0.6,16,,,,,,0.2859,,0.0209,,15.00,,,,,,,7.98,100.00,,,,,,,,,,,0.0041,
06/22/11,P2,,,,,20.00,,,,,6.4,1.30E+03,2.20E+03,,6.00,0.6,18,,,,,,0.3056,,0.052,,15.00,,,,,,,8.01,100.00,,,,,,,,,,,0.0385,
