cadmio,cobre,coliformes_termotolerantes,coliformes_totales,cromo,dbo5,dqo,hierro,manganeso,niquel,ph,plomo,solidos_suspendidos,solidos_totales,zinc,fecha,referencia
0.5,1.0,3000.0,3000.0,2.0,0.68,11.81,1.883,0.05285,4.0,8.2,10.0,41.0,313.0,0.1353,04/06/2001,P1
0.5,1.0,2200.0,7000.0,2.0,0.18,23.42,5.179,0.1641,4.0,8.36,10.0,185.0,453.0,0.09056,04/06/2001,P2
0.5,1.0,7000.0,17000.0,2.0,0.48,19.68,6.043,0.2047,4.0,8.47,10.0,209.0,470.0,0.09999,04/06/2001,P3
0.5,1.0,11000.0,11000.0,2.0,0.58,7.87,3.159,0.09761,4.0,8.34,10.0,74.0,350.0,0.09698,04/06/2001,P4
0.5,2.89,13000.0,13000.0,2.0,0.35,7.75,1.093,0.03675,5.2,8.44,10.0,0.0,293.0,0.1172,04/07/2001,P1
0.5,6.58,3000.0,3000.0,4.01,0.37,11.63,1.258,0.07701,15.34,8.17,10.0,3.0,297.0,0.136,04/07/2001,P2
0.5,6.85,2200.0,2200.0,6.33,0.37,9.69,1.106,0.06362,29.4,8.2,10.0,7.0,305.0,0.07549,04/07/2001,P3
0.5,11.25,17000.0,17000.0,2.0,0.52,23.62,1.581,0.03941,26.95,8.2,10.0,4.0,322.0,0.08745,04/07/2001,P4
0.5,4.79,800.0,50000.0,2.0,0.88,11.79,0.614,0.04747,27.4,8.63,14.73,11.0,426.0,0.04074,20/03/2002,P1
0.5,1.77,1700.0,30000.0,2.0,0.9,9.82,0.003,0.001,9.01,8.5,37.5,11.0,439.0,0.00379,20/03/2002,P2
0.5,2.82,2200.0,8000.0,2.0,0.73,1.96,1.068,0.08725,19.28,8.55,10.0,22.0,477.0,0.01869,20/03/2002,P3
0.5,5.14,8000.0,17000.0,2.0,0.93,3.93,5.103,0.1195,27.21,8.55,15.67,81.0,534.0,0.03026,20/03/2002,P4
10.52,35.12,1700.0,50000.0,352.38,343.925,1.83,19.926,1.3179999999999998,295.06,7.958000000000001,64.2,233.45299999999997,927.8,1.1520000000000001,06/11/2002,P1
10.52,44.940000000000005,5000.0,30000.0,367.68,343.925,1.65,29.438200000000002,1.314,296.1,7.958,64.2,539.653,969.0,1.17428,06/11/2002,P2
10.52,44.94,8000.0,24000.0,367.68,343.925,1.68,29.438200000000002,1.314,296.1,7.958000000000001,64.2,539.653,1118.0,1.17428,06/11/2002,P3
